Entity,Code,Day,Training computation (petaFLOP),Number of parameters,Researcher affiliation
Gato,,2022-05-12,4020000,1180000000,Industry
Gemini 1.0 Pro,,2023-12-06,,,Industry
Gemini 1.0 Ultra,,2023-12-06,50000003000,,Industry
Gemini 1.5 Pro,,2024-02-15,,,Industry
Gemini Nano-1,,2023-12-19,,1800000000,Industry
Gemini Nano-2,,2023-12-19,,3249999872,Industry
Gen-1,,2023-02-06,,,Industry
Gen-2,,2023-03-20,,,Industry
GenSLM,,2022-10-11,1420000,24999999488,Academia and industry collaboration
Generative BST,,2021-03-05,,9400000512,Industry
Genetic algorithm,,1954-07-02,,,Academia
German ELECTRA Large,,2020-10-21,1428295.6,335000000,Other
GloVe (32B),,2014-01-01,,120000000,Academia
GloVe (6B),,2014-01-01,,120000000,Academia
Go-explore,,2020-04-27,,,Industry
Goat-7B,,2023-05-23,,7000000000,Academia
Golem,,1992-10-01,,,Other
GoogLeNet / InceptionV1,,2014-09-17,1510,6797700,Academia and industry collaboration
Gopher (280B),,2021-12-08,631000000,280000004096,Industry
Gradient Boosting Machine,,2001-10-01,,,Academia
Graph-based structural reasoning,,1970-09-01,,,Academia
GraphCast,,2023-11-14,21000000,,Industry
Greedy layer-wise DNN training,,2006-12-04,,,Academia
GroupLens,,1994-10-22,,,Academia
HLBL,,2008-12-08,,1846400,Academia
HMM Word Alignment,,1996-08-05,,,Academia
HOGWILD!,,2011-11-11,,,Academia
HRA,,2017-06-13,,,Industry
Hanabi 4 player,,2019-02-01,4300,764000,Academia and industry collaboration
Handwritten Digit Recognition System,,1989-01-01,0.00018144,2578,Industry
Heuristic Reinforcement Learning,,1965-10-01,1.08e-9,,Academia
Hierarchical Cognitron,,1984-04-01,,9315,Industry
Hierarchical LM,,2005-01-01,0.115848005,,Other
Hiero,,2005-06-01,,120000000,Academia
Histograms of Oriented Gradients,,2005-06-25,,,Academia
Hopfield Networks (2020),,2020-07-16,,,Academia
Hopfield network,,1982-04-01,,9900,Academia
HuBERT,,2021-07-27,5540000,1000000000,Industry
Hybrid H3-2.7B,,2022-12-28,849000.06,2700000000,Academia
HyenaDNA,,2023-06-27,1811000,6600000,Academia
HyperCLOVA 204B,,2021-09-10,,204000002048,Industry
HyperNEAT,,2014-03-05,,239712,Academia
IBM Model 4,,1999-07-02,,,Academia and industry collaboration
IBM-5,,1993-06-15,,1658364,Industry
IMPALA,,2018-02-05,168000,1600000,Industry
ISR network,,1990-10-01,,,Academia
ISS,,2017-09-15,3.4,11100000,Academia and industry collaboration
Image generation,,2013-12-20,0.47520003,,Academia
Image-to-image cGAN,,2016-11-21,,,Academia
ImageBind,,2023-05-09,,932000000,Industry
Imagen,,2022-05-23,14600000,7761999872,Industry
Immediate trihead,,2001-07-06,,,Academia
Inception v3,,2015-12-02,,23626728,Academia and industry collaboration
Inception-ResNet-V2,,2016-02-23,,56000000,Industry
Inceptionv4,,2016-02-23,,43000000,Industry
Incoder-6.7B,,2023-04-09,3000010.2,6700000256,Academia and industry collaboration
Inflated 3D ConvNet,,2017-06-01,,,Academia and industry collaboration
Inflection-2,,2023-11-22,10010000000,,Industry
Inflection-2.5,,2024-03-07,10001000000,,Industry
Innervator,,1989-01-01,1.2e-7,10,Academia
InstructBLIP,,2023-05-11,194000,12999999488,Academia and industry collaboration
InstructGPT,,2022-01-27,,174999994368,Industry
InternImage,,2022-11-10,,1080000000,Academia and industry collaboration
InternLM,,2023-07-06,,99999997952,Academia and industry collaboration
Internal functionality of visual invariants,,1979-05-02,,,Academia
Invariant CNN,,2004-06-27,0.00097423,90575,Academia
Invariant image recognition,,1989-06-18,0.000027,,Academia
Iterative Bootstrapping WSD,,1995-06-26,,,Academia
JFT,,2017-07-10,843000.06,,Academia and industry collaboration
JPMAX,,1994-01-01,8.082828e-8,4446,Other
Jais,,2023-08-29,30800002,12999999488,Academia and industry collaboration
Jurassic-1-Jumbo,,2021-08-11,370000000,178000003072,Industry
KEPLER,,2020-11-23,124000,125000000,Other
KN-LM,,2007-06-22,773.03815,20999999488,Industry
KN5 LM + RNN 400/10 (WSJ),,2010-09-26,61.440002,80000000,Academia
KataGo,,2019-02-27,23200.002,2500000,Industry
Kohonen network,,1981-07-25,,4096,Academia
LDA,,2003-02-02,,,Academia
LDM-1.45B,,2021-12-20,,1450000000,Academia and industry collaboration
LEP-AD,,2023-03-15,,3007380992,Academia
LISSOM,,1995-11-27,0.0001955448,432800,Academia
LLaMA-65B,,2023-02-24,550000000,65200001024,Industry
LLaVA,,2023-04-17,49000,12999999488,Academia and industry collaboration
