Entity,Code,Day,Number of parameters
ProtT5-XXL-BFD,,2021-05-04,11000000000
ProteinBERT,,2022-02-10,16000000
PyramidNet,,2017-09-06,26000000
QMoE: compressed 1T model,,2023-10-25,1600000000000
QRNN,,2018-02-01,135000000
QT-Opt,,2018-06-27,1200000
Qwen-72B,,2023-11-30,72000000000
Qwen-Audio-Chat,,2023-11-14,8460000000
Qwen-VL,,2023-08-24,9600000000
Qwen-VL-Max,,2024-01-25,7000000000
Qwen1.5 72B,,2024-02-04,72000000000
Qwen2-72B,,2024-06-07,72710000000
Qwen2.5-72B,,2024-09-19,72700000000
R-CNN (T-net),,2013-11-11,69003870
RAAM,,1990-11-01,1536
RBM Image Classifier,,2009-04-08,80000000
RETRO-7B,,2022-02-07,7500000000
RNN 500/10 + RT09 LM (NIST RT05),,2010-09-26,5269500
RNN for 1B words,,2013-12-11,20000000000
RNN+LDA+KN5+cache,,2012-12-01,9000000
RNN+weight noise+dynamic eval,,2013-08-04,54000000
RNN-WER,,2014-06-22,26500000
RT-1,,2022-12-13,35000000
RT-2,,2023-07-28,55000000000
RT-2-X,,2023-10-13,55000000000
RankNet,,2005-08-07,5711
Rational DQN Average,,2021-02-18,1683456
ReALM,,2024-03-29,3000000000
ReLU (NORB),,2010-06-15,16210006
ReLU-Speech,,2013-05-26,101706240
ResNeXt-101 32x48d,,2018-05-02,829000000
ResNeXt-101 Billion-scale,,2019-05-02,193000000
ResNeXt-50,,2016-11-16,25000000
ResNet-1001,,2016-09-17,10200000
ResNet-110 (CIFAR-10),,2015-12-10,1700000
ResNet-152 (ImageNet),,2015-12-10,60200000
ResNet-152 + ObjectNet,,2019-09-06,38000000
ResNet-50 Billion-scale,,2019-05-02,25000000
RetinaNet-R101,,2017-08-07,53000000
RetinaNet-R50,,2017-08-07,34000000
Retrieval-Augmented Generator,,2020-05-22,626000000
RoBERTa Large,,2019-07-01,355000000
RoboCat,,2023-06-20,1180000000
Robot Parkour,,2023-09-12,500000
Rotation,,2018-03-21,86000000
Routing Transformer (WT-103),,2020-03-12,79500000
S4,,2021-10-31,249000000
SACHS,,2005-04-22,178
SB-LM,,2007-06-22,300000000000
SEER,,2021-07-29,1300000000
SENet (ImageNet),,2017-09-05,28100000
SNARC,,1952-01-08,40
SOM-CNN,,1997-01-01,32015
SPHINX (Llama 2 13B),,2023-11-13,19900000000
SPIDER2,,2016-10-28,409536
SPN-4+KN5,,2014-01-01,5000000
SRU++ Large,,2021-02-24,234000000
ST-MoE,,2022-02-17,269000000000
Samuel Neural Checkers,,1959-07-01,16
Sandwich Transformer,,2019-11-10,209000000
SciBERT,,2019-03-26,110000000
SeamlessM4T,,2023-12-08,2300000000
Search-Proven Best LSTM,,2015-07-06,20000000
"Segatron-XL large, M=384 + HCP",,2022-03-21,257000000
Segment Anything Model,,2023-04-05,636000000
Self Organizing System,,1955-03-01,225
Semantic Hashing,,2008-12-10,2600000
Seq2Seq LSTM,,2014-09-10,1920000000
SexNet classification,,1990-10-01,1640
SexNet compression,,1990-10-01,72940
ShuffleNet v1,,2017-07-03,2430000
ShuffleNet v2,,2018-06-30,2280000
Siamese-TDNN,,1993-08-01,744
SimCLR,,2020-02-13,375000000
SimCLRv2,,2020-10-26,795000000
SimpleNet,,2016-08-22,5480000
Skywork-13B,,2023-10-30,13000000000
Sparse Non-negative Matrix (SNM) estimation,,2014-12-03,62000000000
Sparse all-MLP,,2022-04-14,9410000000
Speaker-independent vowel classification,,1989-01-01,3040
SqueezeNet,,2016-02-24,1200000
Stable Diffusion (LDM-KL-8-G),,2022-04-13,1450000000
Stable Diffusion XL,,2023-07-04,3400000000
StarCoder,,2023-05-09,15500000000
Statement Curriculum Learning,,2022-03-02,774000000
Super-vector coding,,2010-01-01,1025
Support Vector Machines,,1995-09-01,100000000
Swift,,2023-08-30,56804
Swin Transformer V2,,2021-11-18,3000000000
Switch,,2021-01-11,1571000000000
System 11,,1996-06-18,6452
T0-XXL,,2021-10-15,11000000000
T5-11B,,2019-10-23,11000000000
T5-3B,,2019-10-23,2800000000
TCAN (WT2),,2020-02-28,33000000
TCN (P-MNIST),,2018-02-15,42000
TD-Gammon,,1992-05-01,25000
TRPO,,2015-02-19,33500
TaLK Convolution,,2020-02-08,240000000
Table Tennis Agent,,2024-08-07,185000
Tensor-Transformer(1core)+PN (WT103),,2020-03-17,85300000
Tensorized Transformer (257M),,2019-06-24,257000000
Theseus,,1950-07-02,40
Theseus 6/768,,2020-02-07,66000000
TrOCR,,2021-09-21,558000000
Trajectory-pooled conv nets,,2015-05-19,9106245
Tranception,,2022-05-27,700000000
TransE,,2013-12-05,942000000
Transformer,,2017-06-12,213000000
Transformer (Adaptive Input Embeddings) WT103,,2018-09-28,247000000
Transformer + Simple Recurrent Unit,,2018-09-17,90000000
Transformer - LibriVox + Decoding/Rescoring,,2019-11-19,296000000
Transformer ELMo,,2019-01-01,56000000
Transformer local-attention (NesT-B),,2021-05-26,90100000
Transformer-XL (257M),,2019-01-09,257000000
Transformer-XL + RMS dynamic eval,,2019-04-17,257000000
Transformer-XL DeFINE (141M),,2019-11-27,141000000
Transformer-XL Large + Phrase Induction,,2019-06-04,257000000
TransformerXL + spectrum control,,2020-03-11,151000000
TrellisNet,,2018-10-15,180000000
Truck backer-upper,,1989-06-18,805
True-Regularization+Finetune+Dynamic-Eval,,2019-04-08,7000000
Turing-NLG,,2020-02-13,17000000000
Two Stage Feature Extraction for Object Recognition,,2009-09-29,233506
U-PaLM (540B),,2022-10-20,540000000000
UDSMProt,,2019-09-04,28303800
UL2,,2022-05-10,20000000000
ULM-FiT,,2018-01-18,441000000
UnifiedQA,,2020-05-02,11000000000
Unsupervised High-level Feature Learner,,2012-07-12,1000000000
Unsupervised Scale-Invariant Learning,,2003-06-18,451
VALL-E,,2023-01-05,353000000
VD-LSTM+REAL Large,,2016-11-04,51000000
VD-RHN,,2016-07-12,32000000
VGG16,,2014-09-04,138000000
VGG19,,2014-09-04,144000000
"Variational (untied weights, MC) LSTM (Large)",,2015-12-16,66000000
Vector Space Model,,2011-06-19,255000
ViT + DINO,,2021-04-29,85000000
ViT-22B,,2023-02-10,21743000000
ViT-Base/32,,2020-10-22,86000000
ViT-G (model soup),,2022-03-10,1843000000
ViT-G/14,,2021-06-08,1843000000
ViT-G/14 (LiT),,2021-11-15,3005000000
ViT-Huge/14,,2020-10-22,632000000
VideoMAE V2,,2023-03-29,1000000000
Volcano 13B,,2023-11-13,13000000000
W2v-BERT,,2021-08-07,1000000000
WeNet (Penn Treebank),,2019-04-08,23000000
Weight Decay,,1991-12-02,8386
Whisper,,2022-09-21,1550000000
Word2Vec (large),,2013-10-16,692000000
